proxyWallet,timestamp,conditionId,type,size,usdcSize,transactionHash,price,asset,side,outcomeIndex,outcome,title,slug,eventSlug
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188595,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,16.0,15.68,0xa9d325b3d2dfdc655e580fee224fe7b8b0d44b0e231cdab62656f64b6c22ae3a,0.98,73862931548230368691152402166177706841745331927120450678228521515776334818707,BUY,1,Down,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188547,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,17.0,16.15,0x8e4e799717f3dc6c353c480f989fdcf4de5f3381e5344884156e3bd58b431804,0.95,73862931548230368691152402166177706841745331927120450678228521515776334818707,BUY,1,Down,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188547,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,6.44,0.1932,0x73b424952e447b7a45cac6a441cfbda8321ee5a94cef312b8a29a4f983ce5ae9,0.03,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188547,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,10.309266,0.309278,0xaed41abda292f3556e92893d906a57b891d3f83554ce6c7d63c5bbeaa03fa1e7,0.030000001940002324,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188519,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,18.0,17.1,0x138e438c7da12b219c1c7d2e0aee902462e02a8f42bfc13128ff57a9030a7355,0.95,73862931548230368691152402166177706841745331927120450678228521515776334818707,BUY,1,Down,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188519,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,17.0,0.51,0x5b4f7a0f68768ab8d4ca71f96c7661c7e9898815e683ed77e2c3bc34da3f117b,0.03,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188515,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,18.0,17.28,0xaa597a6e9815069585a8968dae2c537b09b81acc3e611c764107afbf652718f4,0.96,73862931548230368691152402166177706841745331927120450678228521515776334818707,BUY,1,Down,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188505,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,18.0,0.72,0x4ac20e0901d349d4a95ae7bc8ed72b150b5d653febbaf77f4c3102845b0a17cc,0.04,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188505,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,5.0,0.1,0x4ac20e0901d349d4a95ae7bc8ed72b150b5d653febbaf77f4c3102845b0a17cc,0.02,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188505,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,18.0,0.36,0x4ac20e0901d349d4a95ae7bc8ed72b150b5d653febbaf77f4c3102845b0a17cc,0.02,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188491,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,18.0,17.28,0xdad8e931cf71becc4cc4f5d2ab9cd5203cc335fd7c4dbc7a5a18c2368d748d97,0.96,73862931548230368691152402166177706841745331927120450678228521515776334818707,BUY,1,Down,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,1766188481,0x6788554d73c845c36726b8bddaa511e02860899a15e07efd6375f288c01182bc,TRADE,13.6842,0.68421,0x7dbc19c0c1d423a6c23e4d6c7efe18720fb3417138a6aa614a399d8159b7bf0f,0.05,31857603224337597857273168847117462370167402864320359481419282396902548196786,BUY,0,Up,"Bitcoin Up or Down - December 19, 6:45PM-7:00PM ET",btc-updown-15m-1766187900,btc-updown-15m-1766187900
